uid,domain,industry_primary,industry_secondary,title
ADUAPZ,Returns,Manufacturing,Semiconductor,Return Material Management
AFFNSU,Sales,Financial Services,Institutional Asset Management,Account Servicing
AHCCXT,Pharma,Health Care,Life Sciences,HLS Pharma(Rx) - ManuFacturing
HKNJJV,Sales,Communications,Media,Account Management
ZCDQZK,Billing,Communications,Media,Billing Management (Billing Inquiries)
AKMZWD,Marketing,Communications,Media,Campaigns & Journey Management
AVHBEU,Medical Devices,Health Care,Life Sciences,Device Engineering
AXNMFK,Sales,Media,Communications,Sales Enablement
BCDDPW,Service,Communications,Media,Case Management (Trouble Management)
APXEXA,Service,Communications,Media,Case Teaming (Agent-Assisted Customer Service)
BKXJMP,Pharma,Health Care,Life Sciences,Sales Operations
AJSADF,Sales,Communications,Media,Contact Management
BXANJQ,Sales,Media,Communications,Ad-Sales Partner Management
BZEUWH,Medical Devices,Health Care,Life Sciences,Direct Field Sales [USE SALES CAPABILITY DOMAIN]
CGSVWL,Pharma,Health Care,Life Sciences,ReTail
CHWUWA,Finance,Manufacturing,Semiconductor,Product Cost Allocation
CLPAWQ,Health Plans (Payer),Health Care,Life Sciences,Pricing and Quoting
CWVMDC,Production,Media,Communications,Production Management
CXALRA,Health Plans (Payer),Health Care,Life Sciences,Claims Management
BKTAAN,Sales,Communications,Media,Contract Lifecycle Management
WHGVWE,Config Price Quote,Communications,Media,CPQ - Pricing Management
VVGHUE,Config Price Quote,Communications,Media,CPQ - Quote Management
DUMADQ,Quality ,Manufacturing,Semiconductor,Quality Management
WXYDDB,Billing,Communications,Media,Credit & Collections (Receivable Management)
SAHRGC,Sales,Communications,Media,Cross/Up Sell
ECJGUT,Sales,Communications,Media,Door to Door and Mobile Sales
EPSRYA,Provider,Health Care,Life Sciences,Research & Innovation
THMWVW,Order,Communications,Media,E-Commerce
FFMDMW,Subscriptions,Media,Communications,Identity and Entitlements
FJBDFP,Sales,Media,Communications,Brand Licensing
FJNGEX,Common,Media,Communications,Customer 360 Interactions
FNJXLC,Health Plans (Payer),Health Care,Life Sciences,Member Engagement
FSAGTV,Support,Manufacturing,Semiconductor,Training/Certification
FZPCBQ,Health Plans (Payer),Health Care,Life Sciences,Appeals & Grievances 
YQBHAK,Field Service Management,Communications,Media,Field Inventory & Replenishment Mgmt (Field Service)
GATGAA,Product Management,Manufacturing,Semiconductor,Product Life Cycle Management
GGSGSH,Sales,Manufacturing,Semiconductor,Order Management
GNAHZP,Delivery,Media,Communications,Distribution Processes
GRWNPG,Pharma,Health Care,Life Sciences,Medical Affairs 
GSBVTB,Order,Media,Communications,Commerce Operations
GSJKMC,Medical Devices,Health Care,Life Sciences,Supply Chain Planning [USE MANUFACTURING/RCG CAPABILITY DOMAIN]
GTHJSM,Planning,Manufacturing,Semiconductor,Backlog Management
GXZWRZ,Production,Manufacturing,Semiconductor,Production Support
HGJGAV,Provider,Health Care,Life Sciences,Clinical Workflow Support
HGVYNS,Order,Media,Communications,Order Management and Orchestration
HHXWTF,Pharma,Health Care,Life Sciences,Alliance Management
BRCSYD,Field Service Management,Communications,Media,Field Service Analysis and Planning (Field Service)
