uid,domain,industry_primary,industry_secondary,title
ADMBCU,Mobile,Foundational,,Mobile Biometric Screening
ADUAPZ,Returns,Manufacturing,Semiconductor,Return Material Management
AFFNSU,Sales,Financial Services,Institutional Asset Management,Account Servicing
AHCCXT,Pharma,Health Care,Life Sciences,HLS Pharma(Rx) - ManuFacturing
AHMBXK,Banking,Financial Services,,Banking Needs Analysis
HKNJJV,Sales,Communications,Media,Account Management
ZCDQZK,Billing,Communications,Media,Billing Management (Billing Inquiries)
AKVZTK,Commodity Portfolio Management,Energy - Utilities,,Commodity Trading
ALWKUZ,Order,Core,,Promotions Management
AMWLAE,Config Price Quote,Core,,Pricing Management
AKMZWD,Marketing,Communications,Media,Campaigns & Journey Management
AVHBEU,Medical Devices,Health Care,Life Sciences,Device Engineering
AWEQBR,Order,Core,,Assisted Sales & Service
AXHCFP,Mobile,Foundational,,Custom Mobile Extension (Mobile SDK)
AXNMFK,Sales,Media,Communications,Sales Enablement
AZHQBE,Planning Management,Energy - Utilities,,Rate Development
BBNPRF,Procurement and Logistics Management,Energy - Utilities,,Supplier Management
BBNZRP,Sales,Core,,Account Management
BCDDPW,Service,Communications,Media,Case Management (Trouble Management)
BDCWTJ,Insurance,Financial Services,,Insurance Application Management
BHKUNL,Banking,Financial Services,,Product Processing
BHSWHF,Banking,Financial Services,,Underwriting & Approval
BHZEFD,Integration,Foundational,,Event Driven Messaging
APXEXA,Service,Communications,Media,Case Teaming (Agent-Assisted Customer Service)
BKXJMP,Pharma,Health Care,Life Sciences,Sales Operations
BMCJUR,Data Management,Foundational,,Data Security
BNRSMU,Field Service Management,Core,,Field Service Analysis and Planning
AJSADF,Sales,Communications,Media,Contact Management
BRHDMD,Config Price Quote,Core,,Proposal Management
BRPZFK,Security,Foundational,,Recovery
BSWCGQ,Delivery,Foundational,,External App Marketplace
BSZQUU,Billing,Core,,Credit & Collections
BTNAVY,Investment Banking & Markets,Financial Services,,Growth & Analytics
BWSSJY,Mobile,Foundational,,Offline Sync
BXANJQ,Sales,Media,Communications,Ad-Sales Partner Management
BXTMLM,Security,Foundational,,Response Management
BZEUWH,Medical Devices,Health Care,Life Sciences,Direct Field Sales [USE SALES CAPABILITY DOMAIN]
CDCMPG,Field Service Management,Core,,RMA / Depot Repair
CFMTPX,Partner Management,Supporting,,Partner Service Management
CFXHWF,Common,Financial Services,,Action Plan Management
CGADKX,Asset,Energy - Utilities,,Preventative Maintenance
CGSVWL,Pharma,Health Care,Life Sciences,ReTail
CGTUTZ,Artificial Intelligence,Foundational,,NLP & Sentiment Analysis
CHWUWA,Finance,Manufacturing,Semiconductor,Product Cost Allocation
CLPAWQ,Health Plans (Payer),Health Care,Life Sciences,Pricing and Quoting
CNXZTM,Integration,Foundational,,Integration Orchestration
CQDRVJ,Investment Banking & Markets,Financial Services,,"Client Coverage, Collaboration & Mapping"
CSBNMG,UX_UI,Foundational,,Headless Components Support
CTZJEQ,Operations Management,Energy - Utilities,,Commodity Storage Management
CUZNWJ,Investment Banking & Markets,Financial Services,,Research Engagement
CWVMDC,Production,Media,Communications,Production Management
CXALRA,Health Plans (Payer),Health Care,Life Sciences,Claims Management
BKTAAN,Sales,Communications,Media,Contract Lifecycle Management
CYNWVT,Delivery,Foundational,,App Packaging
CYZAXD,Artificial Intelligence,Foundational,,Machine Learning / Auto-ML
CZDMBQ,Sales,Core,,Lead Management
WHGVWE,Config Price Quote,Communications,Media,CPQ - Pricing Management
DAVTQM,Marketing,Core,,Audience Segmentation & Activation
DAZKAY,Banking,Financial Services,,Pricing & Profitability
DCCTMJ,Integration,Foundational,,Managed File Transfer
DDVCXH,Customer Programs Management,Energy - Utilities,,Program Governance & Compliance
DGCMAD,Order,Core,,Commerce Self Service
DHKUMB,Artificial Intelligence,Foundational,,Predictive Analytics / Intelligence
VVGHUE,Config Price Quote,Communications,Media,CPQ - Quote Management
DMNTSR,Service Management,Core,,Warranty Management
DPQKWH,Mobile,Foundational,,Geo-location Services
DPRHCP,Customer Programs Management,Energy - Utilities,,Program Design
DUMADQ,Quality ,Manufacturing,Semiconductor,Quality Management
DVZUPU,IoT,Foundational,,IoT Registry
DXAFXQ,Sales,Core,,Sales Performance Management
DXLAWG,Config Price Quote,Core,,Quote Management
WXYDDB,Billing,Communications,Media,Credit & Collections (Receivable Management)
DYUPBS,Wealth Management,Financial Services,,Wealth Planning
SAHRGC,Sales,Communications,Media,Cross/Up Sell
