x,code,domain,title,description,best_practice,function_01,kpi_01
1,URD,Planning Management,Rate Development,The process to set prices that allow utilities to (profitably depending on ownership model) recover from incurred costs.,"Effectively balance the following factors in rate development; capital attraction, competitive commodity pricing, incentivize efficiency, and commodity supply/demand modulation.",Capital and Expense Forecasting,↓ Proposed and Approved Rate Delta
2,UWD,Planning Management,Weather Data Management,"Weather forecasts and analytics to manage utility weather impacted operations, such as demand response, public safety power shutoffs, outage preparation, and asset maintenance.",Digitization and automation of downstream weather-related activities and processes.,Weather Forecasting,↓ Weather Event Mobilization Time
3,USP,Planning Management,"Transmission, Pipeline and Storage Planning","The planning of commodity transmission, pipeline and storage based on factors such as future commodity demand analysis, age of asset, seismic activity and climate patterns that may cause early asset degradation pertaining to transmission, pipeline and storage.",The digitization and automation of the planning analysis data collection (e.g. use visual artificial intelligence to detect early transmission and distribution asset degradation or use analytics to correlate seismic activity to predict pipeline degradation).,Storage Capacity Planning,↓ Plan and Actual Delta
4,UIP,Planning Management,Investment Planning & Budgeting,"The process to determine what investments are required to maintain and improve safe, reliable and affordable commodity delivery.","Rigorous identification of inefficient processes, activities, and recurring costs that when properly invested in, result in reduced cost and/or improved commodity delivery.",Business Capability Assessment,↑ Budget Forecast Accuracy
5,UAP,Asset Management,Asset Portfolio Management,"The ability to identify each asset and the associated management of their records (e.g. asset manufacture information, Geographic Information System (GIS) & Supervisory Control and Data Acquisition (SCADA) information, inspection history, maintenance records, etc.).","
Leverage a centralized 360-degree asset data view for all utility assets.",Asset Maintenance Records Mgmt.,↑ Asset Information Accuracy
6,UAT,Asset Management,Asset Traceability Management,The ability to trace each asset such that there is knowledge of the asset location and lifecycle status at any point in time from purchase to decommissioning.,"Leverage scanning technology and an asset identification data schema to centrally trace each asset through its lifecycle, from procurement, to warehouse storage, to rolling stock (e.g. meter on a truck), to installation, to decommissioning.",Asset Identification,↓ Lost Assets
7,UVM,Asset Management,Preventative Maintenance,"
Planned maintenance that is scheduled according to usage, time-based triggers or predictive failure to reduce the likelihood of unplanned asset failures.","
Centralized and digitized asset records and digitized planned asset maintenance dispatch with digital mobile enablement for inspectors.",Asset Record Management,↓ Corrective Maintenance
8,UCM,Asset Management,Corrective Maintenance,"Maintenance to remedy the failure of an asset, restoring it to the required level of performance. Corrective Maintenance may be planned or unplanned.",Centralized and digitized asset records and digitally dispatched asset maintenance with digital mobile enablement for inspectors.,Triage & Repair Depot Assignment,↓ Asset Procurement Spend
9,UAI,Asset Management,Asset Inspection,"The process to visually and technologically inspect utility assets to look for premature ware or failure, safety hazards, and categorize the criticality of remediation.","Scale inspection process using aerial footage paired with AI vision. Prioritize risks using analytics leveraging AI vision classifications with augmented data, such as weather, asset age or seismic activity. When onsite physical inspection is required, digitize dispatch, inspection scheduling, field inspection and results data entry processes. ",Inspection Scheduling & Dispatch,↑ Asset Inspection Volume
10,USC,Operations Management,Commodity Supply Control,"The ability to balance the commodity supply (i.e. electric, gas, water) relative to its consumptive demand.","With more distributed commodity supply channels (largely in relation to electric commodity), controlling commodity supply is becoming increasingly complex. Scalable and Automated Supervisory Control and Data Acquisition (SCADA) of distributed assets and asset end points in combination with centrally managed assets are important to cost effectively manage commodity supply complexities.",Supervisory Control and Data Acquisition,↓ Commodity Cost Spike Occurrences
11,USM,Operations Management,Commodity Storage Management,The ability to store commodity to meet demand without interruption and as a hedge against market price fluctuations.,"Predictive analytics that consider all significant variables (e.g. historical consumption, real time consumption, seasonality, weather, rainfall, and commodity market price) to optimize commodity storage. (e.g. release of water from reservoirs, battery/flywheel capacity and operations for electricity storage on grid, and gas reserve purchase timing)",Commodity Usage Analytics,↓ Commodity Cost Spike Occurrences
12,ULD,Operations Management,,"The ability to detect commodity (electric, gas, water) loss, either from asset failure or theft.","Use analytics to detect anomalies of metered commodity use and calculate distribution point supply from the aggregate distribution points’ consumption (e.g. transformer output to aggregate use delta). Employ direct loss detection technologies (e.g. acoustic leak detection for water loss). Crowdsource theft and loss detection, while being technologically positioned to accept crowdsourced assistance at scale.",Commodity Loss Data Capture,↓ Commodity Loss
13,URA,Operations Management,Reliability Assessment Analysis,The ability to track and measure commodity delivery reliability using industry and regulatory metrics.,"Automation of data capture, analysis and reporting of reliability metrics to diverse stakeholders (i.e. regulatory, public, internal). Capture reliability metrics at a level of detail that allows for cost effective analysis and reporting against different reporting standards (e.g. ASIDI, ASUI, ASUI, SAIDI) to effectively compare reliability across utilities.",Reliability Metrics Capture ,↑ Speed of Reliability Reporting
14,ULM,Operations Management,Load Management,"The process of balancing the supply of the commodity (electricity) by adjusting or controlling demand rather than supply. This is usually through energy efficiency (EE) customer programs, like demand response.",Integration between utility load management programs (e.g. demand response) and 3rd party behind the meter controllers (e.g. smart thermostat) such that load management program signals can control 3rd party behind the meter devices (e.g. demand response event automatically raises smart thermostat temperature so that air conditioning system use is curtailed during the event.,Commodity Demand Curtailment,↑ Customer EE Program Participation
15,UEM,Operations Management,Event Management,"The management of planned, unplanned and emergency events by identifying the impacted customers and assets, controlling impacted assets, dispatching response crews as needed, and communication to impacted customers and other stakeholders such as 3rd party emergency crews.",Downstream automation of event impacts (i.e. don't bill customers whose house has burned down as part of an emergency event). Automated event notification chain (i.e know precisely which customers will be impacted by an outage for effective automated notifications). Provide access to digitized event portal so that 3rd party emergency crews have quick access to the utility event information they need.,Downstream Event Triggers,↓ Event Response Time
16,UUC,Operations Management,Commodity Usage Capture,The metered capture of commodity consumption for billing and other value-added products and services.,"Meter read capture is automated. When raw  meter read data cannot be validated, commodity usage estimation should consider historical use and weather patterns when applying standard estimation rules. Estimations can be more accurate when employing interval meter reads. If automated meter read capture is not available, provide the customer with digital self-service meter read options.",Auto-meter Read,↓ Meter Read Truck Rolls
17,UPM,Operations Management,Partner Management,"The enrollment, integration, operations and disenrollment of 3rd party partnerships to deliver products and services to utility customers.","Digitize the enrollment and integration process by providing centralized data (real-time where needed) and receive data from 3rd parties through multiple channels, such as APIs and a self-service portal. Use these channels to generate files and reports and to receive files from 3rd parties.",Partner Enrollment,↓ 3rd Party Enrollment Time
